id_venta,fecha,cliente,producto,cantidad,monto
V016,2026-08-08,Cliente16,CableHDMI,2,50.00
V017,2026-08-09,Cliente17,Adaptador,1,60.00
V018,2026-08-09,Cliente18,SoporteCelular,2,70.00
V019,2026-08-10,Cliente19,LectorTarjetas,1,80.00
V020,2026-08-10,Cliente20,CableUSB,3,90.00
V021,2026-08-11,Cliente21,FundaTablet,1,100.00
V022,2026-08-11,Cliente22,ProtectorPantalla,2,110.00
V001,2026-08-01,Cliente01,Mouse,2,120.50
V023,2026-08-12,Cliente23,MouseInalambrico,1,125.00
V002,2026-08-01,Cliente02,Teclado,1,130.00
V024,2026-08-12,Cliente24,TecladoCompacto,1,135.00
V003,2026-08-02,Cliente03,Audifonos,2,140.00
V025,2026-08-13,Cliente25,Microfono,1,145.00
V004,2026-08-02,Cliente04,Webcam,1,150.00
V026,2026-08-13,Cliente26,ControlUSB,1,155.00
V005,2026-08-03,Cliente05,MemoriaUSB,4,160.00
V006,2026-08-03,Cliente06,MousePad,5,170.00
V027,2026-08-14,Cliente27,CamaraUSB,1,175.00
V007,2026-08-04,Cliente07,HubUSB,2,180.00
V008,2026-08-04,Cliente08,Parlante,1,190.00
V009,2026-08-05,Cliente09,Cargador,2,200.00
V028,2026-08-14,Cliente28,DiscoExterno,1,205.00
V010,2026-08-05,Cliente10,BaseLaptop,1,210.00
V011,2026-08-06,Cliente11,TecladoMecanico,1,220.00
V012,2026-08-06,Cliente12,Router,1,230.00
V013,2026-08-07,Cliente13,SSD,1,240.00
V029,2026-08-15,Cliente29,SwitchRed,1,250.00
V014,2026-08-07,Cliente14,Monitor,1,260.00
V015,2026-08-08,Cliente15,Impresora,1,300.00
V030,2026-08-15,Cliente30,SillaGamer,1,350.00
